"English Title","China Runtime","Converted Runtime","China Release"
"Collateral Damage",01:48:48,108,"2/28/12"
"Shrek 2",01:32:23,92,"1/19/04"
"Anacondas: The Hunt for the Blood Orchid",01:32:00,92,
"The Good Doctor",01:30:44,90,
"Accidental Love",01:36:18,96,
"Prince Avalanche",01:34:30,94,
"Beowulf",01:45:59,105,
"The Sum of All Fears",02:03:41,123,
"Dracula III: Legacy",01:29:06,89,
"The Invasion",01:39:18,99,
"No Country for Old Men",01:57:09,117,
"King Arthur",02:21:38,141,
"Lilo & Stitch",01:25:14,85,
"Leaving Circadia",01:27:43,87,"null"
"Enchanted",01:47:28,107,
"The Polar Express",01:39:50,99,
"Very Good Girls",01:30:44,90,
"Anatomy of Deception",01:31:53,91,"null"
"Mimic: Sentinel",01:16:46,76,
"Deja Vu",02:05:13,125,"3/20/07"
"Cold Mountain",02:28:51,148,
"High School Musical",01:37:52,97,
"After the Reality",01:27:13,87,"null"
"Cellular",01:34:00,94,"4/15/05"
"Knocked Up",02:03:53,123,
"Hellraiser VI: Hellseeker",01:21:50,81,
"Smokin",01:44:12,104,
"Happy Feet",01:48:32,108,"1/26/07"
"Prairie Fever",01:17:59,77,
"Mean Machine",01:35:11,95,
"Star Trek: Nemesis",01:56:30,116,
"The Hitchhiker's Guide to the Galaxy",01:48:46,108,
"Untitled Love Thriller",01:18:25,78,
"Man on Wire",01:33:38,93,1/8/08
"Brother Bear",01:21:25,81,
"You Are Going to Prison",01:29:01,89,
"The Prodigy",01:16:47,76,
"Four Brothers",01:48:46,108,
"Ocean's Twelve",02:05:18,125,
"Chicago",01:43:32,103,
"Chicken Little",01:20:54,80,
"Frida",01:59:08,119,
"Bee Movie",01:26:56,86,
"Cry Wolf",01:30:10,90,"9/16/05"
"Casanova",01:46:35,106,
"Charlie's Angels: Full Throttle",01:44:29,104,
"Piglet's Big Movie",01:11:45,71,
"Spy Kids 3-D: Game Over",01:22:37,82,
"Dark Water",01:40:28,100,
"The Hitcher",01:23:49,83,
"Atlantis: The Lost Empire",01:31:47,91,
"Go for It!",01:28:18,88,
"Hitch",01:53:16,113,
"Meet the Robinsons",01:30:28,90,
"World Trade Center",02:09:08,129,10/6/11
"Lost in Translation",01:40:31,100,
"Hostage",01:53:18,113,
"Strings",01:54:22,114,
"Fracture",01:53:21,113,
"Mystic River",02:17:57,137,
"Christmas on the Bayou",01:24:10,84,"null"
"Shoot the Hero",01:20:17,80,
"Miss Congeniality 2: Armed and Fabulous",01:55:21,115,
"The Sisterhood of the Traveling Pants",01:58:38,118,
"Red Eye",01:25:24,85,
"50 First Dates",01:34:54,94,
"Ray",02:32:26,152,
"Assault on Precinct 13",01:48:42,108,
"Happy Thank You More Please",01:38:36,98,
"Little Birds",01:31:42,91,
"Good Day for It",01:32:28,92,
"Lady in the Water",01:49:39,109,
"Treasure Planet",01:31:27,91,
"Thirteen Ghosts",01:20:13,80,
"25th Hour",02:13:35,133,
"Ultraviolet",01:23:45,83,
"Elizabethtown",01:58:36,118,
"Spy Kids",01:30:50,90,
"From Hell",01:58:40,118,"10/17/01"
"Moulin Rouge!",02:07:48,127,"5/16/01"
"she loves me not",01:30:35,90,"null"
"Elephant",01:21:25,81,
"Lemony Snicket's A Series of Unfortunate Events",01:43:30,103,
"The 40 Year Old Virgin",01:53:11,113,
"The Jungle Book 2",01:09:14,69,
"Children of the Corn: Revelation",01:21:17,81,
"Hide Your Smiling Faces",01:19:54,79,
"The Nativity Story",01:40:54,100,
"The Darjeeling Limited",01:27:25,87,"10/26/07"
"Insomnia",01:58:13,118,
"The Prophecy: Forsaken",01:13:34,73,
"Grassroots",01:38:22,98,
"Hellion",01:36:13,96,
"Friday Night Lights",01:57:39,117,
"Immigrant",01:27:42,87,"null"
"Petunia",01:51:25,111,
"House Party: Tonight's the Night",01:32:56,92,
"Thank You for Smoking",01:27:46,87,
"The Brave One",02:00:58,120,
"The Weather Man",01:36:45,96,
"Honey",01:33:52,93,
"When a Stranger Calls",01:23:01,83,11/6/08
"The Real Cancun",01:30:11,90,
"Edge of Salvation",01:26:40,86,
"Secret Window",01:35:55,95,
"Willard",01:40:19,100,
"The Lake House",01:38:33,98,
"Michael Clayton",01:59:38,119,
"Block Party",01:38:17,98,
"STREET WARRIOR",01:20:06,80,"6/18/08"
"Road to Perdition",01:52:07,112,12/2/07
"Doctor Strange",01:16:25,76,
"Jaws",02:03:52,123,
"Satin",01:23:54,83,1/11/03
"Two Weeks Notice",01:41:11,101,
"Horrible Bosses",01:45:36,105,
"Darling Companion",01:43:36,103,
"Below",01:43:19,103,
"Extract",01:30:16,90,
"Black Snake Moan",01:49:43,109,
"Starsky & Hutch",01:40:30,100,
"The Zodiac",02:37:31,157,
"Stomp the Yard",01:54:19,114,
"Christmas with the Karountzoses",01:41:31,101,
"Meek",01:42:46,102,
"RIZE",01:27:02,87,
"cafe",01:38:15,98,11/11/10
"I'll Always Know What You Did Last Summer",01:28:18,88,
"The Prophecy: Uprising",01:27:39,87,
"Get Rich or Die Tryin'",01:49:35,109,
"Balls of Fury",01:30:12,90,
"A Good Year",01:52:40,112,
"Dream Girls",02:04:50,124,
"Scooby-Doo! In Pirates Ahoy",01:10:38,70,
"The Longest Yard",01:48:44,108,
"Seabiscuit",02:18:56,138,
"The Perfect Man",01:40:34,100,
"My Boss's Daughter",01:15:35,75,
"Maid in Manhattan",01:40:48,100,
"The Hours",01:50:00,110,
"The Cat in the Hat",01:18:23,78,
"Dan in Real Life",01:38:00,98,
"Exit Wounds",01:32:29,92,
"In Good Company",01:49:38,109,
"Love Don't Cost a Thing",01:40:43,100,
"All Over the Guy",01:35:28,95,
"Coach",01:26:49,86,
"Empire",01:39:33,99,
"Scooby-Doo",01:26:34,86,
"Along the Roadside",01:42:55,102,
"Shall We Dance",01:46:22,106,
"Something's Gotta Give",02:05:20,125,
"Wedding Crashers",01:54:29,114,
"In Her Shoes",02:04:58,124,
"Like a Country Song",01:37:46,97,"null"
"Snow Queen",01:23:47,83,
"The Killing Jar",01:29:31,89,
"I Am David",01:27:59,87,
"Price Check",01:32:05,92,
"Mr. Magorium's Wonder Emporium",01:30:52,90,
"The Dukes of Hazzard",01:44:23,104,
"Monster-in-Law",01:37:52,97,
"Proof",01:40:20,100,
"See Spot Run",01:37:03,97,
"The Shape of Things",01:36:45,96,
"Anger Management",01:40:36,100,
"Scooby Doo 2: Monsters Unleashed",01:32:49,92,
"Miss Potter",01:28:49,88,
"Birthday Girl",01:28:23,88,
"License to Wed",01:31:23,91,
"Friends with Kids",01:47:15,107,
"The Last Godfather",01:35:35,95,
"Waking Up in Reno",01:30:52,90,
"Get Over It",01:26:10,86,
"Winged Creatures",01:35:24,95,
"Killing Jimmy Hoffa",01:20:22,80,
"IdleWild",01:56:45,116,"8/25/06"
"Hollywoodland",02:06:10,126,
"City Island",01:43:45,103,
"Changing Lanes",01:38:45,98,
"Little Accidents",01:44:41,104,
"Charlie Valentine",01:32:06,92,"null"
"Multiple Sarcasms",01:33:28,93,
"Friends With Money",01:27:42,87,
"Anchorman: The Legend of Ron Burgundy",01:34:04,94,
"Last Days",01:32:45,92,
"Mr. Deeds",01:32:34,92,
"Confessions of an Action Star",01:25:50,85,
"Touching Home",01:51:51,111,
"Small Town Saturday Night",01:33:58,93,
"Naqoyqatsi",01:25:11,85,
"Showtime",01:35:19,95,
"The Greening of Whitney Brown",01:23:51,83,
"Forrest Gump",02:22:09,142,
"Analyze That",01:35:47,95,
"Christmas in the Smokies",01:27:35,87,"null"
"The Jane Austen Book Club",01:41:13,101,
"Waking Life",01:36:34,96,
"Between Us",01:30:35,90,
"The Shining",02:19:17,139,
"The Answer Man",01:37:02,97,
"Hidden Moon",01:56:02,116,
"Goon",01:31:41,91,
"Crash",01:54:59,114,
"Home Alone 3",01:38:10,98,
"Meet Joe Black",03:00:33,180,
"Rocket Science",01:36:12,96,
"Year of the Dog",01:32:58,92,
"Good Will Hunting",02:06:33,126,
"The Game of Their Lives",01:27:02,87,
"The Lost World: Jurassic Park",02:08:15,128,
"Jurassic Park",02:06:36,126,
"American Splendor",01:40:43,100,
"Employee of the Month",01:27:48,87,"1/17/05"
"Saving Private Ryan",02:48:21,168,
"Cast Away",02:23:45,143,
"Napoleon Dynamite",01:25:51,85,11/4/06
"Divine Secrets of the Ya-Ya Sisterhood",01:51:44,111,
"Hollywood Ending",01:52:01,112,
"Independence Day",02:24:45,144,
"Top Gun",01:48:15,108,
"The Green Mile",03:08:38,188,
"A Mighty Wind",01:31:48,91,
"Dinosaur",01:21:59,81,
"My Big Fat Greek Wedding",01:35:06,95,
"The Godfather",02:56:36,176,
"Gladiator",02:50:57,170,
"Fred Claus",01:55:34,115,
"Alien",01:50:47,110,
"Rush Hour",01:37:50,97,
"Deep Blue Sea",01:45:00,105,
"Cinderella",01:11:18,71,
"Jaws 3-D",01:38:27,98,
"The Jackal",02:03:31,123,
"The Little Mermaid",01:22:48,82,
"The Condemned",01:53:36,113,
"Tremors",01:35:33,95,
"Waterworld",02:15:10,135,
"Eraser",01:54:31,114,
"The Sixth Sense",01:47:20,107,
"Child's Play 2",01:23:55,83,
"Legends of the Fall",02:11:48,131,
"Happy Campers",01:30:28,90,
"The Negotiator",02:19:34,139,
"X-Men",01:44:19,104,
"Gone with the Wind",03:46:09,226,
"Rails & Ties",01:40:15,100,
"Before Sunrise",01:40:55,100,
"Alien 3",01:54:31,114,
"Toy Story 2",01:32:25,92,
"A Short History of Decay",01:33:31,93,
"Cobra",01:27:04,87,
"Deep Impact",01:56:12,116,
"Village of the Damned",01:37:58,97,
"Lightbulb",01:28:00,88,
"The Last of the Mohicans",01:54:33,114,
"Starship Troopers",02:06:42,126,
"The Godfather: Part III",02:50:15,170,
"Touched by Grace",01:35:45,95,"null"
"The Ultimate Life",01:49:01,109,
"Con Air",01:55:25,115,
"Assassins",02:12:45,132,
"The Seven Year Itch",01:44:24,104,"6/3/55"
"The Matrix",02:16:18,136,
"Breakfast at Tiffany's",01:50:07,110,"10/5/61"
"White Palace",01:38:24,98,"10/19/90"
"End of Days",02:01:02,121,
"Dead Poets Society",02:03:13,123,
"Child's Play 3",01:29:40,89,
"Beauty and the Beast",01:31:45,91,
"Indiana Jones and the Temple of Doom",01:58:27,118,
"Hamburger Hill",01:45:18,105,
"Empire of the Sun",02:32:45,152,
"The Family Tree",01:30:21,90,
"The Parent Trap",02:02:41,122,
"Sleeping Beauty",01:12:01,72,
"Red Dirt Rising",01:28:55,88,11/11/01
"The Nightmare Before Christmas",01:13:28,73,
"Ghost",02:05:01,125,
"Hollow Man",01:46:34,106,
"Passenger 57",01:23:26,83,
"Fly Away Home",01:42:30,102,
"Superman",02:31:26,151,
"Robinson Crusoe",01:30:40,90,
"2001: A Space Odyssey",02:23:09,143,
"Bart Got a Room",01:18:56,78,
"Race to Space",01:44:32,104,
"Scary Movie",01:15:01,75,
"The Fly",01:29:12,89,
"shaft",01:35:15,95,
"The Perfect Storm",02:09:49,129,
"Demon Knight",01:31:24,91,
"Hello, My Name Is Frank",01:48:47,108,"null"
"Outbreak",02:08:12,128,
"The Aviator",02:47:02,167,
"Dragonheart",01:42:58,102,
"Star Trek: First Contact",01:50:44,110,
"Henry Poole Is Here",01:38:44,98,
"Beneath the Planet of the Apes",01:30:45,90,"5/1/70"
"Primal Fear",02:10:10,130,
"Motherhood",01:29:16,89,"10/23/09"
"Ace Ventura: When Nature Calls",01:34:03,94,
"Mimic",01:50:26,110,
"Hellraiser: Inferno",01:32:32,92,
"Groundhog Day",01:36:47,96,
"13 Going On 30",01:33:38,93,
"Shanghai Noon",01:50:17,110,
"A Bug's Life",01:34:53,94,
"Waterloo Bridge",01:48:13,108,
"The Cell",01:44:11,104,
"Daylight",01:54:24,114,
"The Thin Red Line",02:42:40,162,"1/15/99"
"Out of Africa",02:40:29,160,
"A Nightmare on Elm Street 4: The Dream Master",01:32:54,92,
"Heat",02:49:35,169,
"Breaking Up",01:29:17,89,
"Death Sentence",01:41:11,101,
"From Dusk Till Dawn 3: The Hangman's Daughter",01:13:22,73,
"Dragon: The Bruce Lee Story",01:59:48,119,
"Twister",01:52:57,112,
"The Replacement Killers",01:36:05,96,
"Pet Sematary",01:38:28,98,
"Back to the Future Part II",01:48:02,108,
"Midway",02:11:27,131,"6/18/76"
"Broken Arrow",01:48:21,108,
"Wild Wild West",01:45:58,105,
"The Faculty",01:43:34,103,
"Contact",02:29:41,149,
"Gone in 60 Seconds",01:54:01,114,
"Planet of the Apes",01:46:58,106,
"Scream",01:49:25,109,
"Cruel Intentions",01:37:26,97,
"Retreat, Hell!",01:31:11,91,
"Friday the 13th Part III",01:30:11,90,
"Bambi",01:06:47,66,
"Deliverance",01:45:35,105,
"Dracula 2000",01:38:29,98,
"Casper",01:40:08,100,
"The Fugitive",02:10:16,130,"11/12/94"
"Anna Karenina",01:43:24,103,
"Three Kings",01:49:33,109,
"Star Trek: The Motion Picture",02:10:02,130,
"Memento",01:53:26,113,
"The Jungle Book",01:15:13,75,
"Quinceanera",01:26:39,86,
"Last Action Hero",02:10:53,130,
"Courage Under Fire",01:56:14,116,"7/12/96"
"Congo",01:43:46,103,
"Die Hard 2: Die Harder",01:57:39,117,
"Judge Dredd",01:36:05,96,
"Rounders",02:00:36,120,
"She",01:45:06,105,
"Saints and Soldiers",01:30:17,90,
"Dante's Peak",01:48:28,108,
"Somewhere in Time",01:43:29,103,
"Escape from the Planet of the Apes",01:33:26,93,
"A Little Princess",01:37:22,97,
"Sharpshooter",01:24:57,84,
"Wall Street",02:05:43,125,
"Payback",01:30:18,90,
"Little Women",01:53:25,113,
"Ben-Hur",03:31:40,211,
"Goodfellas",02:25:15,145,
"Selfless",01:20:50,80,
"Miss Congeniality",01:48:59,108,
"Chatterbox",01:20:54,80,7/9/08
"Ghostbusters II",01:43:14,103,
"Scream 3",01:56:58,116,
"The 6th Day",01:59:29,119,
"Dumbo",01:01:13,61,"7/12/89"
"Liar Liar",01:26:30,86,
"In the Line of Fire",02:08:36,128,
"Mars Attacks!",01:45:45,105,
"Mercury Rising",01:51:20,111,
"Nutty Professor II: The Klumps",01:46:46,106,"7/24/00"
"Memphis Belle",01:47:10,107,
"Together Again for the First Time",01:25:09,85,
"Highlander: Endgame",01:35:20,95,
"The Ten Commandments",01:24:05,84,
"Alien Arsenal",01:26:22,86,"null"
"Scarface",02:49:07,169,
"Vacancy",01:21:30,81,
"Mary Shelley's Frankenstein",01:57:57,117,
"Far and Away",02:19:45,139,
"The Many Adventures of Winnie the Pooh",01:10:55,70,
"The Age of Innocence",02:18:25,138,
"Moonwalker",01:32:49,92,
"Apollo 13",02:19:20,139,
"Friday the 13th Part 5",01:25:00,85,
"The Gauntlet",01:49:11,109,
"Runaway Bride",01:56:20,116,
"Jackie Brown",02:34:22,154,
"Grow Up, Tony Phillips",01:31:09,91,"10/31/13"
"The Incredibly True Adventure of Two Girls in Love",01:31:28,91,
"Bringing Up Bobby",01:33:03,93,
"The Bachelor",01:42:07,102,
"Friday the 13th Part VIII: Jason Takes Manhattan",01:35:31,95,
"Her Minor Thing",01:27:34,87,
"One Hundred and One Dalmatians",01:19:16,79,
"Blue Streak",01:34:06,94,
"Shiloh",01:30:35,90,
"Invaders from Mars",01:39:30,99,
"Willy Wonka & the Chocolate Factory",01:39:41,99,
"The Scarlet Letter",02:06:05,126,
"Casino",02:58:20,178,
"Sudden Death",01:50:06,110,
"Patton",02:42:17,162,
"Clueless",01:33:14,93,
"Wild at Heart",01:57:42,117,
"The Insider",02:37:47,157,
"The Cider House Rules",02:05:25,125,
"Remember the Titans",01:53:26,113,
"The Untouchables",01:59:27,119,
"Star Trek IV: The Voyage Home",01:58:36,118,
"tom thumb",01:32:21,92,
"Wolfen",01:49:21,109,
"Murder at 1600",01:46:20,106,
"The Color of Money",01:56:13,116,
"From Dusk Till Dawn 2: Texas Blood Money",01:15:21,75,
"Peter Pan",01:13:25,73,
"Mona Lisa Smile",01:59:18,119,
"Birdy",01:54:41,114,
"Star Trek III: The Search for Spock",01:45:14,105,
"The Ten Commandments",01:24:01,84,
"My Best Friend's Wedding",01:44:52,104,
"The Emperor's New Groove",01:10:55,70,
"Guarding Tess",01:31:33,91,"3/11/94"
"Darkman",01:35:14,95,
"Midnight Run",02:06:13,126,
"Tango & Cash",01:42:58,102,
"October Sky",01:47:27,107,
"Cop Land",01:43:56,103,
"Mr. & Mrs. Smith",01:34:02,94,"1/31/41"
"Chinatown",02:03:22,123,
"Bonnie and Clyde",01:49:15,109,
"Kindergarten Cop",01:50:01,110,
"Milk Money",01:44:12,104,
"Once Upon a Time in the West",02:39:12,159,
"George of the Jungle",01:27:54,87,
"Tristan + Isolde",02:05:12,125,"4/16/07"
"Point of No Return",01:48:20,108,
"Body Armour",01:30:15,90,
"Mousehunt;Mouse Hunt",01:37:34,97,"12/19/97"
"Anna and the King",02:21:48,141,
"North by Northwest",02:16:25,136,
"Psycho",01:43:32,103,
"Carlito",02:20:20,140,
"Jennifer Eight",01:59:41,119,
"French Connection II",01:54:19,114,
"Gremlins 2: The New Batch",01:46:26,106,
"Star Trek: Generations",01:57:59,117,
"The Goonies",01:53:53,113,
"Bound",01:44:20,104,
"White Chicks",01:48:42,108,
"Bugsy",02:10:08,130,
"Shakespeare in Love",01:58:25,118,
"Cape Fear",02:07:44,127,
"Born on the Fourth of July",02:21:07,141,
"Broken English",01:36:03,96,"6/22/07"
"The Cable Guy",01:35:46,95,
"King Solomon's Mines",01:36:11,96,"11/22/85"
"Philadelphia",02:04:23,124,
"A Few Good Men",02:17:37,137,
"Come Back, Little Sheba",01:32:01,92,
"The Love Letter",01:23:35,83,
"On Golden Pond",01:49:14,109,
"Out of Sight",02:02:28,122,
"Marvin's Room",01:38:22,98,
"Sister Act 2: Back in the Habit",01:42:33,102,
"The Mask of Zorro",02:17:36,137,
"Nevada Smith",02:05:30,125,
"Rumble Fish",01:33:39,93,
"The Sting",02:09:11,129,"12/25/73"
"Never Been Kissed",01:47:28,107,"4/9/99"
"Paris - When It Sizzles",01:45:54,105,
"10.5: Apocalypse",01:22:24,82,"3/18/06"
"Staying Alive",01:32:23,92,
"Who Framed Roger Rabbit",01:43:46,103,
"Big Daddy",01:29:06,89,
"You've Got Mail",01:59:23,119,
"mirror wars",01:44:11,104,
"The French Connection",01:39:24,99,
"Absolute Power",02:01:09,121,
"Brother's Justice",01:20:27,80,
"Random Hearts",02:05:41,125,
"The Big Lebowski",01:55:17,115,
"It Started in Naples",01:35:59,95,
"The Story of Us",01:35:29,95,
"Doctor Zhivago",03:16:27,196,
"He Said, She Said",01:50:16,110,
"Boys and Girls",01:33:56,93,
54,01:24:34,84,
"Billy Madison",01:29:50,89,
"Fast Times at Ridgemont High",01:24:51,84,
"Airplane",01:24:08,84,
"Westward Ho",58:27:00,3507,
"I Want You",01:41:39,101,
"Cats Don't Dance",01:11:09,71,
"Reindeer Games",01:59:23,119,
"Black Sunday",02:17:14,137,
"Pay It Forward",02:03:21,123,
"The Dead Pool",01:29:39,89,
"The Prince and the Showgirl",01:56:44,116,
"Girl, Interrupted",02:01:52,121,
"The Breakfast Club",01:36:59,96,
"Angela's Ashes",02:24:11,144,
"Dead Man",02:00:50,120,
"Buffalo",01:47:18,107,
"Forget Paris",01:41:25,101,
"On Deadly Ground",01:41:40,101,
"Goodbye, Columbus",01:36:01,96,
"The Poseidon Adventure",01:25:55,85,
"Premiere Victoire",02:40:15,160,
"Down by Law",01:44:06,104,
"Just Cause",01:41:57,101,
"The Proposition",01:52:02,112,
"Innerspace",01:59:48,119,
"Student Bodies",01:25:27,85,
"Fantasia/2000",01:14:32,74,
"My Dad, Me and Her",01:24:25,84,"null"
"Cry-Baby",01:19:57,79,
"Conspiracy Theory",02:15:17,135,
"The Dead Girl",01:29:47,89,
"Boys Don",01:48:16,108,
"Zeus and Roxanne",01:34:08,94,
"The Monster Squad",01:22:11,82,
"Sudden Impact",01:55:50,115,
"Bulletproof",01:22:12,82,
"East of Eden",01:54:44,114,
"Alice Doesn't Live Here Anymore",01:52:04,112,
"Rushmore",01:32:48,92,
"Nightwatch",01:40:29,100,
"Children of the Corn 666: Isaac's Return",01:22:12,82,
"Sling Blade",02:14:40,134,
"Wrongfully Accused",01:22:34,82,
"Them!",01:28:43,88,
"Mary Poppins",02:13:22,133,"8/27/64"
"One True Thing",02:07:17,127,
"The Rookie",01:55:01,115,
"Dog Day Afternoon",02:04:39,124,
"Happy Gilmore",01:31:49,91,
"Fire in the Sky",01:44:50,104,
"To Be or Not to Be",01:39:17,99,
"Wyatt Earp",03:06:28,186,
"Curdled",01:29:03,89,
"Safe Men",01:27:57,87,
"Fear and Loathing in Las Vegas",01:49:37,109,
"Prophecy",01:38:18,98,
"The Firm",02:34:34,154,
"Kramer vs. Kramer",01:43:52,103,
"Footloose",01:42:48,102,"2/17/84"
"My Dog Skip",01:35:31,95,
"Dazed and Confused",01:42:11,102,
"Targets",01:26:12,86,
"Ali",02:36:35,156,
"Boomerang",01:48:40,108,
"The Dead Zone",01:43:01,103,
"The Chamber",01:52:36,112,
"Double Jeopardy",01:44:06,104,"9/21/99"
"The Devil's Own",01:46:33,106,
"Explorers",01:49:14,109,
"Villa Rides",01:56:57,116,
"The Long, Hot Summer",01:56:44,116,
"Freejack",01:49:28,109,
"Crack in the World",01:31:55,91,
"Johnny Guitar",01:45:31,105,
"Clerks",01:39:30,99,
"Miller's Crossing",01:50:04,110,
"Supercross",01:20:29,80,"8/15/05"
"My Mom's New Boyfriend",01:36:55,96,4/10/06
"Backdraft",02:17:16,137,
"Street king",01:38:49,98,
"Up in Smoke",01:19:59,79,
"This Property Is Condemned",01:45:29,105,
"Hatari!",02:31:03,151,
"Vampire in Brooklyn",01:37:51,97,
"The Mighty",01:40:29,100,
"The Power of One",02:07:07,127,
"Reality Bites",01:38:17,98,
"Mad City",01:54:49,114,
"Next of Kin",01:48:16,108,
"Flesh and Bone",01:58:59,118,
"The Little Foxes",01:56:02,116,
"Happy, Texas",01:38:35,98,
"Strangers on a Train",01:40:49,100,
"The Prophecy II",01:22:22,82,
"Sunset Blvd.",01:45:47,105,
"Twins",01:46:44,106,
"The Net",01:54:19,114,
"The Furies",01:44:32,104,
"One Eight Seven",01:59:00,119,
"Across the Universe",02:12:15,132,
"King of the Hill",01:43:07,103,
"Bird on a Wire",01:55:58,115,"5/18/90"
"Out For Justice",01:26:29,86,
"Pony Express",01:37:13,97,
"Joan of Arc",01:21:44,81,
"Hercules",01:18:29,78,"null"
"Donnie Darko",02:12:56,132,
"Barfly",01:35:02,95,
"Would I Lie to You?",01:56:20,116,
"Anna's Storm",01:34:10,94,
"Teacher's Pet",01:55:07,115,
"Kinsey",01:52:30,112,
"Cypher",01:35:35,95,
"The Country Girl",01:39:52,99,
"Avalon",02:02:29,122,
"Passage to Zarahemla",01:35:25,95,
"Rebel Without a Cause",01:46:22,106,
"A Thousand Acres",01:40:48,100,
"As Good as It Gets",02:12:46,132,
"Lesser of Three Evils",01:28:17,88,
"The Flintstones",01:30:11,90,"5/23/94"
"We're No Angels",01:41:35,101,
"The Wedding Singer",01:35:53,95,
"Raising Arizona",01:30:11,90,
"Snow Falling on Cedars",02:07:20,127,
"The Ladies Man",01:31:45,91,
"The Last Tycoon",01:54:05,114,
"Living in Oblivion",01:25:49,85,
"An American Tail",01:20:24,80,
"Round Midnight",02:11:18,131,
"Night Falls on Manhattan",01:48:56,108,
"Mallrats",01:31:42,91,
"All the President's Men",02:17:31,137,
"Firewalker",01:40:41,100,
"Do the Right Thing",01:59:23,119,
"Meeting Venus",01:54:49,114,
"Blues Brothers 2000",02:03:31,123,"2/6/98"
"Grease",01:45:57,105,
"Bobby Deerfield",01:59:08,119,
"A New Kind of Love",01:45:56,105,
"Houseboat",01:45:09,105,
"Beautiful Girls",01:46:22,106,
"Gone But Not Forgotten",01:22:41,82,"null"
"Blue",01:48:27,108,
"Almost Famous",02:38:22,158,
"Play It Again, Sam",01:22:06,82,
"Elephant Walk",01:38:24,98,
"The Philadelphia Story",01:51:53,111,
"Father of the Bride",01:40:48,100,"12/18/95"
"The Court-Martial of Billy Mitchell",01:36:20,96,
"Swingers",01:36:20,96,
"Foreign Correspondent",02:00:25,120,"8/16/40"
"Sneakers",02:05:19,125,
"Billboard Dad",01:29:00,89,
"Ace in the Hole",01:46:28,106,
"Urban Cowboy",02:08:41,128,
"Imagine: John Lennon",01:44:40,104,
"Scarred City",01:20:54,80,
"Summer of Sam",02:09:27,129,
"Power",01:50:46,110,
"Field of Dreams",01:45:38,105,
"The Buccaneer",01:55:27,115,
"An American Tail II;An American Tail: Fievel Goes West",01:15:03,75,"11/15/91"
"Hard Justice",01:27:10,87,
"Chuka",01:40:34,100,
"The Desperate Hours",01:47:56,107,
"Street Smart",01:32:35,92,
"Into the Night",01:54:11,114,"2/15/85"
"Ed TV",02:03:08,123,
"Whispers in the Dark",01:29:48,89,"9/21/93"
"Star Kid",01:40:51,100,
"The Brave",01:57:28,117,
"Harold and Maude",01:27:46,87,
"A Christmas Story",01:33:23,93,
"China Girl",01:30:26,90,
"The Far Horizons",01:43:28,103,
"Revenge of the Nerds",01:23:17,83,
"Bowfinger",01:36:57,96,
"Scared Stiff",01:43:24,103,
"An American in Paris",01:53:33,113,
"The Eiger Sanction",02:08:24,128,"8/22/75"
"Distant Drums",01:36:35,96,
"Tommy Boy",01:32:20,92,
"Dark City",01:33:26,93,
"Escape from Zahrain",01:29:05,89,"5/23/62"
"Five Corners",01:29:46,89,
"Elvis: That's the Way It Is",01:43:58,103,
"Bopha!",01:53:22,113,
"Losing Isaiah",01:42:27,102,
"The Spitfire Grill",01:56:41,116,
"Only the Valiant",01:40:40,100,
"The Man Without a Face",01:50:14,110,
"Juncture",01:46:41,106,
"The Counterfeit Traitor",02:15:06,135,
"Heller in Pink Tights",01:36:25,96,
"Pursued",01:37:03,97,
"Summer and Smoke",01:53:34,113,
"Hans Christian Andersen",01:52:33,112,
"The Matchmaker",01:36:45,96,
"The Pallbearer",01:38:02,98,
"Coffee and Cigarettes",01:36:21,96,
"The Buccaneer",02:00:26,120,
"Knock on Wood",01:39:14,99,
"The Brady Bunch Movie",01:24:49,84,
"Blue Hawaii",01:36:59,96,
"Two Family House",01:48:30,108,
"Caddyshack",01:23:10,83,
"Artists and Models",01:44:36,104,
"Take",01:38:21,98,
"Come and Get It",01:38:54,98,
"Young at Heart",01:52:32,112,
"Flipper's New Adventure",01:38:03,98,
"The Trap",01:20:26,80,
"American Flyers",01:50:10,110,
"Denver and Rio Grande",01:25:11,85,
"Running Mates",01:30:22,90,
"Gale Force",01:28:55,88,"1/15/02"
"Waiting for Guffman",01:23:39,83,
"My Blue Heaven",01:35:23,95,
"The Eliminator",01:21:28,81,6/4/07
"The Colossus of New York",01:07:00,67,
"Angel and the Badman",01:35:37,95,
"My Geisha",01:54:46,114,
"A Million to Juan",01:33:14,93,
"The Geisha Boy",01:33:39,93,
"The Strange Love of Martha Ivers",01:51:16,111,
"Chasing Ghosts",01:53:48,113,
"Donovan",01:44:11,104,
"Imaginary Crimes",01:40:55,100,
"This Is Spinal Tap",01:23:08,83,"null"
"Final Examination",01:22:02,82,3/3/01
"The Advocate's Devil (TV)",01:26:13,86,
"Who's Minding the Store?",01:26:11,86,
"Captain Carey, U.S.A.",01:19:26,79,
"EASY COME EASY GO",01:31:01,91,
"Casanova",01:22:13,82,
"The High and the Mighty",02:21:18,141,
"The Red Pony",01:25:12,85,
"In Old California",01:27:46,87,
"The Delicate Delinquent",01:36:49,96,
"Wide Awake",01:27:17,87,
"The Gong Show Movie",01:28:45,88,"5/23/80"
"The Spirit Is Willing",01:36:10,96,
"The Patsy",01:37:15,97,
